rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,full_address
1,1,Southfield Primary School,Ealing,101890,4 to 11,33,377.0,33.0,Does not apply,False,1,16.0,23.5625,False,99.29004854368932,100.0,39.0,113.0,115.0,115.0,114.33333333333333,W4 1BD,51.50133,-0.256702,150,1237658,1152500,"Southfield Road, Bedford Park, London, W4 1BD"
2,1,Addison Primary School,Hammersmith and Fulham,100321,3 to 11,28,200.0,46.0,Does not apply,False,2,9.15,21.85792349726776,False,99.18082524271846,93.0,39.0,115.0,115.0,116.0,115.33333333333333,W14 0DT,51.500295,-0.218329,115,2022300,1750000,"Addison Gardens, Blythe Road, London, W14 0DT"
3,1,Yardley Primary School,Waltham Forest,136364,3 to 11,59,521.0,14.0,Does not apply,False,3,20.85,24.988009592326136,False,99.14441747572815,97.0,37.0,113.0,114.0,116.0,114.33333333333333,E4 7PH,51.640667,-0.006449,31,527035,525000,"Hawkwood Crescent, London, E4 7PH"
4,1,Park Academy,Merton,141027,4 to 11,16,127.0,38.0,None,False,4,7.68,16.536458333333336,False,99.05339805825243,94.0,44.0,114.0,113.0,115.0,114.0,SW19 3EF,51.408695,-0.194197,72,897934,907500,"200 Dorset Road, London, SW19 3EF"
5,1,Barnes Primary School,Richmond upon Thames,102902,3 to 11,51,468.0,6.0,Does not apply,False,5,23.69,19.755170958210215,False,98.88956310679612,96.0,39.0,114.0,112.0,116.0,114.0,SW13 0QQ,51.469444,-0.250185,206,1269457,1150000,"Cross Street, Barnes, London, SW13 0QQ"
6,2,Good Shepherd RC Primary School,Hammersmith and Fulham,100354,3 to 11,27,227.0,26.0,Roman Catholic,True,,9.4,24.148936170212764,False,98.7621359223301,100.0,41.0,114.0,112.0,114.0,113.33333333333333,W12 9BY,51.502829,-0.245622,148,1166192,1105000,"35 Gayford Road, London, W12 9BY"
7,1,St James & St John Church of England Primary School,Westminster,101132,3 to 11,22,174.0,23.0,Church of England,True,,9.0,19.333333333333332,False,98.58009708737863,95.0,32.0,114.0,116.0,115.0,115.0,W2 3QD,51.51295,-0.17924,48,2944348,2325000,"4 Craven Terrace, London, W2 3QD"
8,1,Our Lady of Lourdes RC Primary School,Redbridge,147337,3 to 11,52,448.0,13.0,Roman Catholic,True,,19.3,23.212435233160623,False,98.42233009708738,94.0,38.0,113.0,112.0,115.0,113.33333333333333,E11 2TA,51.574659,0.02055,72,907273,899500,"Chestnut Drive, Wanstead, London, E11 2TA"
9,2,Deer Park School,Richmond upon Thames,142012,4 to 11,30,389.0,3.0,None,False,6,17.6,22.102272727272727,False,98.41019417475728,97.0,33.0,114.0,113.0,114.0,113.66666666666667,TW1 2EF,51.456121,-0.30994,72,1553617,1317500,"389 Richmond Road, Twickenham, TW1 2EF"
10,1,St Stephen's Catholic Primary School,Bexley,101455,5 to 11,60,418.0,12.0,Roman Catholic,True,,19.51,21.42491030240902,False,98.27063106796116,93.0,45.0,112.0,113.0,114.0,113.0,DA16 3QG,51.464153,0.104048,52,458649,470000,"Ruskin Avenue, Welling, DA16 3QG"
11,3,St Richard Reynolds Catholic Primary School,Richmond upon Thames,149298,4 to 11,30,210.0,3.0,Roman Catholic,True,,11.76,17.857142857142858,False,97.89441747572816,90.0,40.0,114.0,112.0,115.0,113.66666666666667,TW1 4LT,51.447912,-0.335155,154,853375,792500,"Clifden Road, Twickenham, London, TW1 4LT"
12,1,St Michael and St Martin Catholic Primary School,Hounslow,102531,3 to 11,59,478.0,8.0,Roman Catholic,True,,18.8,25.425531914893615,False,97.84587378640776,93.0,32.0,112.0,113.0,116.0,113.66666666666667,TW4 7AG,51.467061,-0.379119,57,442909,445000,"Belgrave Road, Hounslow, TW4 7AG"
13,2,Merton Park Primary School,Merton,102639,3 to 11,27,228.0,4.0,Does not apply,False,7,10.38,21.965317919075144,False,97.56674757281554,93.0,33.0,112.0,112.0,115.0,113.0,SW19 3HQ,51.409739,-0.201303,106,969839,956500,"Church Lane, Merton Park, London, SW19 3HQ"
14,1,Lift Trinity,Haringey,138589,3 to 11,54,463.0,28.0,None,False,8,19.49,23.755772190867113,False,97.5,98.0,35.0,111.0,113.0,114.0,112.66666666666667,N22 8ES,51.600389,-0.113466,92,685660,631000,"Bounds Green Road, Wood Green, London, N22 8ES"
15,2,Gordon Primary School,Redbridge,102808,3 to 11,34,397.0,56.0,Does not apply,False,9,14.0,28.357142857142858,False,97.4635922330097,94.0,36.0,113.0,114.0,112.0,113.0,IG1 1SU,51.555978,0.087481,166,449960,450000,"Gordon Primary School, Golfe Road, Ilford, IG1 1SU"
16,3,St Stephen's CofE Primary School,Hammersmith and Fulham,100353,3 to 11,57,440.0,16.0,Church of England,True,,19.33,22.76254526642525,False,97.4514563106796,91.0,44.0,114.0,111.0,114.0,113.0,W12 8LH,51.50557,-0.227576,118,1340773,1300000,"Uxbridge Road, London, W12 8LH"
17,1,Saint Francis of Assisi Catholic Primary School,Kensington and Chelsea,100494,3 to 11,20,179.0,50.0,Roman Catholic,True,,11.29,15.854738706820196,False,97.43932038834951,90.0,30.0,114.0,114.0,116.0,114.66666666666667,W11 4BJ,51.512216,-0.216913,85,3318558,2100000,"Treadgold Street, Notting Hill, London, W11 4BJ"
18,1,Westbourne Primary School,Sutton,136796,3 to 11,89,656.0,16.0,Does not apply,False,10,31.61,20.752926289149006,False,97.39077669902912,90.0,53.0,111.0,115.0,115.0,113.66666666666667,SM1 2NT,51.373038,-0.204695,121,513374,520000,"Anton Crescent, Collingwood Road, Sutton, SM1 2NT"
19,2,Thomas Jones Primary School,Kensington and Chelsea,100488,3 to 11,30,234.0,53.0,Does not apply,False,11,11.51,20.330147697654215,False,97.20873786407766,93.0,27.0,113.0,113.0,116.0,114.0,W11 1RQ,51.514913,-0.210365,99,3924624,2700000,"St Mark's Road, London, W11 1RQ"
20,2,Cheam Common Junior Academy,Sutton,142398,7 to 11,126,510.0,10.0,Does not apply,False,12,19.2,26.5625,False,97.04490291262135,90.0,36.0,112.0,114.0,113.0,113.0,KT4 8UT,51.374523,-0.237368,119,529481,520000,"Kingsmead Avenue, Worcester Park, KT4 8UT"
21,2,St Clement Danes CofE Primary School,Westminster,101127,4 to 11,24,192.0,25.0,Church of England,True,,10.6,18.11320754716981,False,97.02669902912622,100.0,25.0,112.0,114.0,116.0,114.0,WC2B 5SU,51.513666,-0.119732,4,4074410,3785000,"118 Drury Lane, Covent Garden, LONDON, WC2B 5SU"
22,3,St Elphege's RC Junior School,Sutton,102996,7 to 11,95,382.0,22.0,Roman Catholic,True,,17.28,22.10648148148148,False,96.86286407766991,92.0,39.0,111.0,112.0,114.0,112.33333333333333,SM6 9HY,51.356136,-0.127927,36,443806,435000,"Mollison Drive, Roundshaw, Wallington, SM6 9HY"
23,1,Our Lady of Victories Catholic Primary School,Wandsworth,101037,4 to 11,28,183.0,7.0,Roman Catholic,True,,9.29,19.69860064585576,False,96.8264563106796,96.0,29.0,114.0,111.0,114.0,113.0,SW15 1AW,51.463805,-0.223206,123,1314508,1300000,"1 Clarendon Drive, London, SW15 1AW"
24,3,Fox Primary School,Kensington and Chelsea,100482,4 to 11,57,415.0,12.0,Does not apply,False,13,23.9,17.364016736401673,False,96.80218446601941,91.0,42.0,111.0,112.0,114.0,112.33333333333333,W8 7PP,51.507491,-0.196678,98,4455792,3112500,"Fox Primary School , Kensington Place, London, W8 7PP"
25,1,Southwold Primary School,Hackney,100242,3 to 11,47,360.0,51.0,Does not apply,False,14,18.6,19.354838709677416,False,96.53519417475728,91.0,32.0,113.0,111.0,114.0,112.66666666666667,E5 9NL,51.56344,-0.053603,65,1185246,1160000,"Detmold Road, Clapton, Hackney, E5 9NL"
26,1,St Antony's Catholic Primary School,Newham,148025,2 to 11,58,435.0,45.0,Roman Catholic,True,,16.0,27.1875,False,96.22572815533981,97.0,36.0,111.0,112.0,112.0,111.66666666666667,E7 9PN,51.540673,0.024366,148,544963,536000,"Upton Avenue, Forest Gate, London, E7 9PN"
27,1,St Andrew's Catholic Primary School,Lambeth,100632,4 to 11,52,397.0,19.0,Roman Catholic,True,,17.6,22.55681818181818,False,96.15291262135922,92.0,23.0,113.0,114.0,117.0,114.66666666666667,SW16 2ET,51.424321,-0.125788,97,798486,780000,"Polworth Road, Streatham, London, SW16 2ET"
28,2,Sheringdale Primary School,Wandsworth,101026,3 to 11,43,425.0,12.0,Does not apply,False,15,17.56,24.202733485193622,False,96.07402912621359,95.0,51.0,112.0,112.0,111.0,111.66666666666667,SW18 5TR,51.446915,-0.203642,209,1195076,1250000,"Standen Road, Southfields, Wandsworth, London, SW18 5TR"
29,1,Deansbrook Junior School,Barnet,139489,7 to 11,62,258.0,37.0,Does not apply,False,16,12.8,20.15625,False,95.99514563106796,95.0,34.0,111.0,111.0,113.0,111.66666666666667,NW7 3ED,51.612646,-0.26203,69,464546,450000,"Hale Drive, Mill Hill, London, NW7 3ED"
30,3,Churchfields Junior School,Redbridge,133935,7 to 11,120,479.0,13.0,Does not apply,False,17,23.2,20.646551724137932,False,95.8373786407767,91.0,38.0,112.0,111.0,112.0,111.66666666666667,E18 2RB,51.598288,0.027027,121,710379,710000,"Churchfields, South Woodford, Redbridge, London, E18 2RB"
31,4,Manor Park Primary Academy,Sutton,145484,2 to 11,95,694.0,20.0,Does not apply,False,18,29.2,23.767123287671232,False,95.40655339805826,87.0,31.0,112.0,112.0,114.0,112.66666666666667,SM1 4AW,51.364064,-0.187765,106,461047,455000,"Greyhound Road, Sutton, SM1 4AW"
32,3,Hampden Gurney CofE Primary School,Westminster,101123,3 to 11,26,227.0,12.0,Church of England,True,,12.4,18.306451612903224,False,95.38228155339806,100.0,19.0,114.0,117.0,117.0,116.0,W1H 5HA,51.516787,-0.164054,65,2286191,1850000,"13 Nutford Place, London, W1H 5HA"
33,2,St Mary's CofE Primary School,Waltham Forest,144238,5 to 11,77,578.0,19.0,Church of England,True,,29.4,19.65986394557823,False,95.31553398058253,96.0,36.0,111.0,113.0,111.0,111.66666666666667,E17 9HJ,51.583437,-0.003151,183,781023,760000,"Brooke Road, Walthamstow, London, E17 9HJ"
34,4,Marshgate Primary School,Richmond upon Thames,133728,4 to 11,59,416.0,10.0,Does not apply,False,19,17.37,23.949337938975244,False,95.19417475728156,88.0,37.0,111.0,111.0,114.0,112.0,TW10 6HY,51.46141,-0.290225,116,1123699,977500,"157 Queens Road, Richmond, TW10 6HY"
35,2,Courtland School,Barnet,101271,4 to 11,29,207.0,21.0,Does not apply,False,20,9.26,22.354211663066955,False,95.16990291262137,97.0,21.0,112.0,112.0,116.0,113.33333333333333,NW7 3BG,51.627239,-0.252876,4,784375,783750,"Courtland Avenue, Mill Hill, London, NW7 3BG"
36,1,"Christ Church Primary School, Hampstead",Camden,100028,4 to 11,25,191.0,16.0,Church of England,True,,11.4,16.75438596491228,False,95.14563106796116,88.0,56.0,111.0,111.0,113.0,111.66666666666667,NW3 1JH,51.559257,-0.176597,44,3095028,2772500,"Christ Church Hill, London, NW3 1JH"
37,5,The Vineyard School,Richmond upon Thames,102906,4 to 11,88,575.0,9.0,Does not apply,False,21,30.0,19.166666666666668,False,94.7997572815534,86.0,30.0,112.0,113.0,113.0,112.66666666666667,TW10 6NE,51.454291,-0.298464,89,1394359,1000000,"Friars Stile Road, Richmond, TW10 6NE"
38,2,Tollgate Primary School,Newham,143881,3 to 11,54,412.0,54.0,Does not apply,False,22,26.4,15.606060606060607,False,94.64199029126213,91.0,37.0,112.0,111.0,111.0,111.33333333333333,E13 8SA,51.519729,0.0337,168,417805,414000,"Barclay Road, Plaistow, London, E13 8SA"
39,1,St Joseph's Catholic Primary School,Islington,100441,2 to 11,56,510.0,30.0,Roman Catholic,True,,22.0,23.181818181818183,False,94.64199029126213,89.0,29.0,111.0,112.0,113.0,112.0,N19 5NE,51.567449,-0.138767,81,1343741,1265000,"Highgate Hill, Highgate, Dartmouth Park Hill, London, N19 5NE"
